width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.04,8,35.31,1.226,35.0243,43.7851,45.1345
100,0.04,9,35.99,1.10814,37.1276,44.307,46.5239
100,0.04,10,38,0.979331,39.4232,45.6576,47.5926
100,0.04,11,40.2,1.07176,40.0392,48.0071,50.4434
100,0.04,12,39.13,1.06716,38.9424,46.375,48.7854
100,0.04,13,34.95,1.17977,36.8751,42.6966,44.1527
100,0.04,14,34.51,1.16265,35.5526,43.0584,45.2656
100,0.04,15,36.88,1.11839,36.4982,45.5133,47.9517
100,0.04,16,40.33,1.08796,39.575,46.7246,49.6068
100,0.04,17,33.08,1.20015,32.1171,41.8831,43.3821
100,0.04,18,36.63,1.1145,37.8928,44.4576,46.659
100,0.04,19,37.96,0.997428,37.5184,45.8945,48.4409
100,0.05,0,37.63,0.972919,37.5928,45.1492,46.9697
100,0.05,1,39.75,0.951958,39.8024,47.3291,49.3093
100,0.05,2,34.72,1.00988,33.6726,42.6789,44.523
100,0.05,3,38.67,0.99408,38.2514,46.2028,48.9986
100,0.05,4,35.94,1.06709,36.6791,44.4177,46.7609
100,0.05,5,39.46,1.09795,40.5801,48.048,50.1784
100,0.05,6,37.63,1.20126,37.9017,46.3586,48.6052
100,0.05,7,36.88,0.977852,39.0586,43.4233,45.5036
100,0.05,8,38.61,0.909039,36.9102,44.5067,46.1979
100,0.05,9,37.26,1.17697,36.5654,45.705,47.5608
100,0.05,10,36.89,1.05992,37.3954,44.1779,46.828
100,0.05,11,36.46,1.05015,36.055,45.4612,47.2146
100,0.05,12,38.76,1.06699,39.4756,46.3253,49.4745
100,0.05,13,37.63,1.13746,37.6242,45.5606,48.6131
100,0.05,14,35.78,1.11402,37.5756,43.2182,44.9939
100,0.05,15,33.68,0.98747,34.2271,41.0302,43.4601
100,0.05,16,33.85,1.13565,37.1815,40.5409,42.5892
100,0.05,17,35.79,0.991144,37.1183,43.4966,45.0727
100,0.05,18,35.71,1.00325,36.3764,43.4752,44.8887
100,0.05,19,41.17,0.944393,42.2785,48.5097,51.1426
100,0.06,0,37.23,1.05056,38.7896,44.1256,46.3738
100,0.06,1,38.48,0.95142,39.0314,46.0704,48.4256
100,0.06,2,36.66,1.23033,38.4288,45.9748,47.5131
100,0.06,3,34.93,1.17282,35.9654,43.4362,45.5834
100,0.06,4,36.92,1.12993,39.086,43.4317,44.1581
100,0.06,5,38.19,1.02189,38.1429,46.0494,48.2265
100,0.06,6,38.34,1.00288,39.1844,46.149,48.8794
100,0.06,7,38.36,1.07955,38.8478,46.666,48.4725
100,0.06,8,37.68,1.0283,39.6575,46.2393,48.5236
100,0.06,9,32.89,0.989894,33.2624,40.7821,43.3774
100,0.06,10,34.96,1.01806,34.7037,42.015,43.7609
100,0.06,11,37.14,1.04399,36.9453,44.9022,46.6469
100,0.06,12,34.77,1.01848,35.4922,43.0516,45.096
100,0.06,13,36.37,1.09441,36.7207,44.5701,46.1171
100,0.06,14,36.05,1.11317,35.5239,42.99,44.1682
100,0.06,15,35.81,0.998053,36.4564,44.5276,46.5602
100,0.06,16,38.59,1.06437,38.8409,46.0182,49.0039
100,0.06,17,38.83,1.16573,38.429,46.5041,48.5124
100,0.06,18,36.05,1.20661,34.3505,44.5346,46.6305
100,0.06,19,35.93,0.994774,37.8779,42.5528,44.7137
100,0.07,0,37.12,1.01092,38.2871,44.8189,46.8165
100,0.07,1,36.31,1.04207,38.0047,44.356,47.2294
100,0.07,2,34.31,0.983325,32.8918,41.6868,43.7724
100,0.07,3,33.79,1.05413,34.2054,41.5123,43.8123
100,0.07,4,33.43,1.1891,35.7064,41.5054,43.9723
100,0.07,5,39.37,1.06294,40.0273,47.4166,50.3048
100,0.07,6,36.78,0.976331,38.5083,44.8153,47.4077
100,0.07,7,37.31,0.945606,37.7787,44.6757,46.584
100,0.07,8,34.96,1.07928,35.9428,43.0315,45.5445
100,0.07,9,36.47,1.16547,37.029,44.4865,46.4226
100,0.07,10,34.05,0.99729,35.7182,41.3514,43.2641
100,0.07,11,39.14,0.95223,39.7053,45.7732,48.2172
100,0.07,12,34.35,1.09477,37.0235,42.6649,44.8723
100,0.07,13,36.47,1.04952,36.937,44.0297,46.805
100,0.07,14,36.15,0.963312,37.497,42.7861,44.8942
100,0.07,15,40.13,1.05086,39.6354,48.6057,50.6333
100,0.07,16,38.85,1.0243,40.7568,46.9067,49.665
100,0.07,17,37.58,0.889353,36.0293,44.3425,46.8626
100,0.07,18,36.75,1.04703,37.6423,44.323,46.7934
100,0.07,19,34.66,1.08481,36.4671,41.5633,43.7622
100,0.08,0,31.98,0.985108,32.6774,38.6587,40.5619
100,0.08,1,37.03,1.0687,36.7477,45.2171,47.6585
100,0.08,2,37.05,0.994888,38.2152,44.4693,46.11
100,0.08,3,37.59,0.984668,37.8347,45.2742,47.2554
100,0.08,4,34.4,0.981735,33.3996,41.6752,43.7076
100,0.08,5,35.68,0.990482,36.3872,42.3174,45.0093
100,0.08,6,36.4,0.997458,37.5578,43.6442,45.9476
100,0.08,7,38.19,0.951836,37.5815,45.4289,47.6214
100,0.08,8,38.64,1.0579,39.0268,47.2488,49.6246
100,0.08,9,32.01,1.07125,32.1108,39.3818,41.7379
100,0.08,10,36.81,0.919161,36.4049,44.8625,46.7561
100,0.08,11,37.09,0.995645,37.2538,44.7328,46.4821
100,0.08,12,37.4,1.02082,38.5568,45.4748,47.7857
100,0.08,13,38.47,0.979126,39.4687,46.0381,48.7743
100,0.08,14,33.4,1.03604,33.3622,40.7347,43.0698
100,0.08,15,33.86,1.01386,32.2424,41.9546,44.3071
100,0.08,16,36.88,1.00196,38.5226,44.6118,47.1462
100,0.08,17,36.9,0.985261,35.4202,44.8693,46.9614
100,0.08,18,33.46,0.938567,33.3676,40.6308,42.5008
100,0.08,19,35.44,0.923592,36.9256,42.6687,44.9036
100,0.09,0,37.57,1.00602,38.5206,44.4066,47.7683
100,0.09,1,35.53,1.13377,36.7837,43.5559,46.7281
100,0.09,2,36.02,1.11213,36.1482,42.892,45.2321
100,0.09,3,37.77,0.955767,38.222,44.8627,47.0335
100,0.09,4,35.61,0.954579,36.3556,43.8468,46.2992
