width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.1,39,36.04,1.03395,35.1934,43.6121,45.5408,45.9596
100,0.1,40,39.51,1.07874,41.6812,45.8682,47.0264,47.276
100,0.1,41,40.47,0.967619,40.8468,47.0599,49.279,49.6855
100,0.1,42,39.74,0.85376,38.9212,45.9109,47.6496,48.1741
100,0.1,43,34.9,1.01773,36.0252,41.8924,43.6592,44.0059
100,0.1,44,35.13,0.947577,35.4601,42.2067,44.446,44.7876
100,0.1,45,37.55,1.01621,37.747,44.5823,46.9858,47.3142
100,0.1,46,40.15,1.02794,39.2953,46.2505,48.6437,48.9378
100,0.1,47,32.4,1.18223,33.2881,40.9146,42.8362,43.0861
100,0.1,48,37.14,0.903945,36.3729,43.2127,45.9143,46.2643
100,0.1,49,37.67,1.09827,37.1946,45.9818,47.3976,48.5277
100,0.2,0,38.82,0.899576,38.8748,44.7823,45.815,46.2554
100,0.2,1,40.28,1.02898,39.9394,46.0782,47.8269,48.2782
100,0.2,2,35.06,1.05237,33.0884,41.1414,43.1465,43.8564
100,0.2,3,39.36,0.888193,40.0415,45.4777,47.1099,47.749
100,0.2,4,37.25,0.950405,38.4873,42.4642,45.0904,45.8118
100,0.2,5,40.47,0.994599,42.6808,47.1145,48.4044,49.0877
100,0.2,6,38.2,0.958129,39.7469,44.7159,46.6535,47.3481
100,0.2,7,37.13,0.921867,37.9489,43.0908,44.8757,45.2335
100,0.2,8,38.57,0.974619,38.2771,44.0415,45.1347,45.8724
100,0.2,9,38.45,1.02893,37.8491,44.5462,46.0488,46.5333
100,0.2,10,37.37,0.898921,37.0423,43.2843,44.8723,45.8049
100,0.2,11,37.89,0.919973,39.5973,43.7788,45.7895,46.1107
100,0.2,12,39.15,0.956375,39.0088,46.0935,47.5691,48.2089
100,0.2,13,38.59,0.898663,39.1279,45.1724,46.6654,47.2686
100,0.2,14,36.77,0.94741,38.1658,41.788,44.1387,44.7063
100,0.2,15,34.44,0.919987,34.5947,40.7272,42.343,42.8277
100,0.2,16,34.09,0.896331,34.1663,40.1387,42.3182,42.66
100,0.2,17,36.96,0.953246,37.5757,42.4531,44.2546,44.6286
100,0.2,18,37.19,0.870661,38.0674,42.6264,44.092,44.4843
100,0.2,19,41.62,0.8715,41.6571,47.0842,49.1146,49.4326
100,0.2,20,36.81,0.979628,37.3737,43.6112,45.4098,45.6097
100,0.2,21,38.69,0.825526,38.1197,45.2492,46.6486,47.2234
100,0.2,22,37.72,0.856686,38.6734,44.284,46.1957,46.6898
100,0.2,23,36.19,0.995728,35.4953,43.1691,44.2225,44.9223
100,0.2,24,35.59,0.993166,36.5817,41.3591,43.8502,44.1338
100,0.2,25,37.94,0.902386,37.8548,44.8287,46.2771,46.9373
100,0.2,26,38.16,1.02539,38.3957,44.6795,46.9374,47.6104
100,0.2,27,38.59,0.957527,38.2581,45.1799,46.3582,47.2348
100,0.2,28,38.6,0.999119,38.5833,45.2603,47.0224,47.4759
100,0.2,29,34.83,0.886872,34.3797,40.8887,42.3796,42.9567
100,0.2,30,35.61,0.877659,37.1718,41.2086,43.2687,43.6347
100,0.2,31,37.68,0.913413,36.9957,43.5536,45.3272,45.9211
100,0.2,32,36.3,0.868096,35.9428,42.5266,44.019,44.4274
100,0.2,33,35.78,1.05496,34.6655,42.7398,44.9253,45.2722
100,0.2,34,35.85,0.97754,34.9421,41.3467,43.5146,44.0949
100,0.2,35,37.2,0.923495,37.2341,43.0034,45.326,45.7611
100,0.2,36,38.64,1.03911,38.752,45.2497,46.9724,47.6746
100,0.2,37,39.14,0.882394,39.053,45.1027,46.8657,47.4313
100,0.2,38,36.76,0.896589,37.3251,43.3914,44.9639,45.6184
100,0.2,39,36.18,0.918836,35.9704,42.4992,43.9536,44.397
100,0.2,40,36.9,0.821209,37.6936,43.277,45.6005,46.2
100,0.2,41,38.32,0.912804,39.7925,43.8046,45.8298,46.4362
100,0.2,42,35.37,0.953225,35.9087,41.9074,43.169,43.6027
100,0.2,43,34.09,0.938636,36.5985,41.1918,42.9585,43.4249
100,0.2,44,35.46,0.964734,36.1781,41.1155,43.0194,43.4626
100,0.2,45,39.62,1.03366,39.4513,45.6393,48.0741,48.741
100,0.2,46,38.39,0.884691,39.0952,43.8381,45.8078,46.4757
100,0.2,47,39.67,0.971525,39.2343,44.8075,45.7894,46.2315
100,0.2,48,36.06,0.883141,38.712,42.7477,44.2994,44.8775
100,0.2,49,37.38,0.925655,38.6665,43.165,45.1054,45.8678
100,0.3,0,35.3,0.789164,36.8417,40.589,42.3911,43.1464
100,0.3,1,39.86,0.759777,39.5775,44.5108,46.3334,47.0991
100,0.3,2,36.47,0.985968,36.0731,41.9193,43.5478,44.3021
100,0.3,3,38.07,0.796669,39.5306,42.3736,44.7775,45.5943
100,0.3,4,36.68,0.873912,37.1289,41.947,43.8662,44.6516
100,0.3,5,40.54,0.819609,41.1185,45.4881,47.7433,48.436
100,0.3,6,39.47,0.861222,39.16,44.2656,46.3613,47.4089
100,0.3,7,38.53,0.793986,38.5066,43.1249,45.4569,46.0342
