width,noise,instance_number, greedy_mean,greedy_stdev,pagerank_value,regret_value,global_greedy,optimal_value
100,0.01,28,45,0.664327,44.9001,46.0945,46.033,46.6031
100,0.01,29,44.94,0.44118,44.2239,45.157,45.6611,46.5054
100,0.01,30,44.3,0.620504,42.7646,45.2097,45.0261,46.2364
100,0.01,31,43.92,0.36116,42.0684,44.5337,44.6228,45.8394
100,0.01,32,44.92,0.434929,44.7897,45.4671,45.4501,46.4143
100,0.01,33,44.26,0.625982,43.153,45.0974,44.878,46.0898
100,0.01,34,43.8,0.536542,42.4965,44.6568,44.5404,46.0081
100,0.01,35,43.98,0.542796,43.9564,44.7798,44.7583,45.6669
100,0.01,36,45,0.695557,43.0637,46.152,46.0293,46.6398
100,0.01,37,44.98,0.380626,43.7511,45.4896,45.7168,46.4594
100,0.01,38,43,0.61494,41.041,43.97,44.2391,45.0937
100,0.01,39,44,0.459059,42.4572,44.9528,44.6478,45.7677
100,0.01,40,45.68,0.397914,44.7454,46.1366,46.0902,47.1492
100,0.01,41,45.82,0.437751,45.2252,46.5342,46.8204,47.1579
100,0.01,42,44.6,0.442604,42.815,45.2971,45.4326,46.2019
100,0.01,43,44.32,0.609117,43.097,44.9689,45.3791,46.4015
100,0.01,44,44.04,0.635321,43.1453,44.9021,44.9634,46.033
100,0.01,45,44.52,0.527098,42.9928,45.4471,45.5632,46.2912
100,0.01,46,44.82,0.358837,43.6328,45.395,45.4015,46.3909
100,0.01,47,44.88,0.419414,43.7592,45.4102,45.6314,46.4198
100,0.01,48,44.22,0.644394,43.6316,45.1056,45.3302,46.0345
100,0.01,49,44.68,0.415828,44.9544,44.8486,45.5797,46.2489
100,0.02,0,43.42,0.588728,42.4731,44.0341,44.142,45.425
100,0.02,1,43.94,0.398667,44.1726,44.7525,44.683,45.5598
100,0.02,2,44.08,0.646174,43.7096,45.3579,45.3947,46.2113
100,0.02,3,44.24,0.610212,44.2558,45.0367,45.3709,46.1586
100,0.02,4,43.84,0.480703,43.3893,44.6812,44.8776,45.9104
100,0.02,5,43.66,0.41747,42.3943,44.5486,44.4087,45.4763
100,0.02,6,43.06,0.68873,41.9647,43.836,44.1482,45.3152
100,0.02,7,44.04,0.687414,43.1991,44.6336,45.1893,46.1393
100,0.02,8,42.98,0.606327,42.0016,43.7249,43.8731,45.0956
100,0.02,9,43.94,0.441483,42.5936,44.7326,44.8092,45.8634
100,0.02,10,43.72,0.431338,42.5909,44.5724,44.6246,45.5732
100,0.02,11,44.04,0.744489,43.9141,44.9646,45.232,45.8533
100,0.02,12,43.02,0.630966,41.6019,43.793,43.8834,45.1897
100,0.02,13,43.78,0.442297,42.7009,44.3053,44.6937,45.6125
100,0.02,14,43.86,0.49256,42.1609,44.8609,44.7478,45.8161
