,,plant_ge,Aralia,Chimaphila,Clintonia,Cornus,Cypripedium,Linnaea,Maianthemum,Medeola,Oxalis,Pyrola,Trientalis,Trillium,,,,,,,,,,,,,,,,,,,
,,plant_sp,nudicaulis,umbellata,borealis,canadensis,acaule,borealis,canadense,virginiana,montana,secunda,borealis,undulatum,,,,,,,,,,,,,,,,,,,
Fannia,ungulata,53,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Halictus,confusus,54,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Halictus,rubicundus,55,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Hoplitis,producta,56,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
Hylaeus,basalis,57,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Hylaeus,ellipticus,58,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Hylaeus,stevensi,59,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Judolia,montivagans,60,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Lygus,refidorsus,61,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Mallota,posticata,62,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Melagyna,lasiophthalma,63,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Melanostoma,sp.,64,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,
Nomada,cuneata,65,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Nomada,sayi,66,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Orsodacne,atra,67,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
